"Draw Date","Numbers As Drawn","Numbers In Order","Jackpot","6 of 6","5 of 6","4 of 6","3 of 6"
"02-09-2022","25--40--26--44--16--31","16--25--26--31--40--44","$2.30 Million",0,13,484,7857
"02-05-2022","27--5--30--44--14--6","5--6--14--27--30--44","$2.20 Million",0,7,433,7317
"02-02-2022","2--13--16--44--17--34","2--13--16--17--34--44","$2.10 Million",0,5,451,7442
"01-29-2022","11--9--18--30--32--24","9--11--18--24--30--32","$2.00 Million",0,12,516,8445
"01-26-2022","37--20--7--41--11--8","7--8--11--20--37--41","$1.90 Million",0,12,488,7993
"01-22-2022","4--21--29--17--40--22","4--17--21--22--29--40","$1.80 Million",0,12,483,7609
"01-19-2022","7--39--5--33--21--8","5--7--8--21--33--39","$1.70 Million",0,8,472,7713
"01-15-2022","8--19--35--32--23--37","8--19--23--32--35--37","$1.60 Million",0,9,449,6845
"01-12-2022","42--31--32--23--37--21","21--23--31--32--37--42","$1.50 Million",0,11,432,6986
"01-08-2022","24--20--9--15--34--29","9--15--20--24--29--34","$1.40 Million",0,10,457,7156
"01-05-2022","30--23--28--25--18--38","18--23--25--28--30--38","$1.30 Million",0,7,511,8015
"01-01-2022","4--38--12--17--7--10","4--7--10--12--17--38","$1.20 Million",0,15,542,8451
"12-29-2021","44--8--31--15--30--6","6--8--15--30--31--44","$1.10 Million",0,7,469,7299
"12-25-2021","34--5--39--19--8--2","2--5--8--19--34--39","$1.00 Million",0,9,443,6903
"12-22-2021","41--13--9--16--15--44","9--13--15--16--41--44","$1.70 Million",1,7,492,7798
"12-18-2021","14--21--25--18--1--5","1--5--14--18--21--25","$1.60 Million",0,7,502,8007
"12-15-2021","14--15--41--33--36--35","14--15--33--35--36--41","$1.50 Million",0,10,405,6788
"12-11-2021","35--44--38--5--13--4","4--5--13--35--38--44","$1.40 Million",0,13,458,7401
"12-08-2021","20--29--10--11--13--27","10--11--13--20--27--29","$1.30 Million",0,13,436,7635
"12-04-2021","42--6--32--14--35--22","6--14--22--32--35--42","$1.20 Million",0,9,407,6944
"12-01-2021","18--1--13--27--7--38","1--7--13--18--27--38","$1.10 Million",0,12,520,7341
"11-27-2021","10--3--14--34--23--19","3--10--14--19--23--34","$1.00 Million",0,13,430,6458
"11-24-2021","21--39--42--18--17--13","13--17--18--21--39--42","$1.80 Million",1,11,469,8413
"11-20-2021","6--12--32--30--10--41","6--10--12--30--32--41","$1.70 Million",0,8,520,7770
"11-17-2021","19--15--7--31--33--20","7--15--19--20--31--33","$1.60 Million",0,12,437,7353
"11-13-2021","42--41--35--22--37--8","8--22--35--37--41--42","$1.50 Million",0,6,475,7142
"11-10-2021","32--29--13--5--30--23","5--13--23--29--30--32","$1.40 Million",0,11,463,7016
"11-06-2021","9--26--31--3--11--18","3--9--11--18--26--31","$1.30 Million",0,14,558,8164
"11-03-2021","5--15--44--8--3--7","3--5--7--8--15--44","$1.20 Million",0,13,525,7875
"10-30-2021","1--41--5--39--26--25","1--5--25--26--39--41","$1.10 Million",0,14,422,6958
"10-27-2021","12--18--32--7--29--13","7--12--13--18--29--32","$1.00 Million",0,11,458,7057
"10-23-2021","8--10--25--13--29--22","8--10--13--22--25--29","$2.40 Million",1,14,585,9090
"10-20-2021","1--36--12--14--34--22","1--12--14--22--34--36","$2.30 Million",0,14,534,8943
"10-16-2021","3--6--25--18--14--27","3--6--14--18--25--27","$2.20 Million",0,15,589,8866
"10-13-2021","9--25--29--24--39--41","9--24--25--29--39--41","$2.10 Million",0,18,502,8030
"10-09-2021","39--21--15--18--13--34","13--15--18--21--34--39","$2.00 Million",0,14,506,8596
"10-06-2021","24--1--35--22--20--27","1--20--22--24--27--35","$1.90 Million",0,8,535,8315
"10-02-2021","20--23--33--36--14--38","14--20--23--33--36--38","$1.80 Million",0,16,492,8091
"09-29-2021","38--9--2--42--23--26","2--9--23--26--38--42","$1.70 Million",0,12,483,7896
"09-25-2021","30--34--2--31--11--15","2--11--15--30--31--34","$1.60 Million",0,16,469,7618
"09-22-2021","24--20--15--28--17--42","15--17--20--24--28--42","$1.50 Million",0,7,481,7569
"09-18-2021","30--17--27--32--36--1","1--17--27--30--32--36","$1.40 Million",0,10,475,7628
"09-15-2021","27--5--23--1--21--6","1--5--6--21--23--27","$1.30 Million",0,14,473,8169
"09-11-2021","12--18--1--4--5--29","1--4--5--12--18--29","$1.20 Million",0,14,555,8334
"09-08-2021","19--36--12--39--42--8","8--12--19--36--39--42","$1.10 Million",0,15,432,7129
"09-04-2021","35--16--38--40--41--44","16--35--38--40--41--44","$1.00 Million",0,11,488,7683
"09-01-2021","21--29--32--12--18--2","2--12--18--21--29--32","$5.90 Million",1,18,863,13673
"08-28-2021","16--44--1--11--12--2","1--2--11--12--16--44","$5.80 Million",0,19,860,14162
"08-25-2021","26--39--15--31--16--28","15--16--26--28--31--39","$5.70 Million",0,15,801,12715
"08-21-2021","20--30--3--5--16--8","3--5--8--16--20--30","$5.60 Million",0,24,903,14472
"08-18-2021","23--29--35--31--7--9","7--9--23--29--31--35","$5.50 Million",0,13,830,13401
"08-14-2021","7--6--3--34--31--32","3--6--7--31--32--34","$5.40 Million",0,17,778,12945
"08-11-2021","43--12--39--17--27--13","12--13--17--27--39--43","$5.30 Million",0,21,762,13305
"08-07-2021","31--29--39--3--20--13","3--13--20--29--31--39","$5.20 Million",0,20,835,12778
"08-04-2021","33--26--24--12--39--18","12--18--24--26--33--39","$5.10 Million",0,23,811,12638
"07-31-2021","20--35--24--33--12--8","8--12--20--24--33--35","$5.00 Million",0,20,801,12819
"07-28-2021","3--29--2--11--37--22","2--3--11--22--29--37","$4.90 Million",0,15,813,12209
"07-24-2021","43--17--3--23--22--11","3--11--17--22--23--43","$4.80 Million",0,18,837,12859
"07-21-2021","23--13--6--10--30--19","6--10--13--19--23--30","$4.70 Million",0,13,855,12193
"07-17-2021","43--18--41--27--9--12","9--12--18--27--41--43","$4.60 Million",0,15,803,12219
"07-14-2021","44--16--9--30--41--33","9--16--30--33--41--44","$4.50 Million",0,22,688,11347
"07-10-2021","7--39--3--14--16--18","3--7--14--16--18--39","$4.40 Million",0,16,734,11901
"07-07-2021","13--19--1--39--2--34","1--2--13--19--34--39","$4.30 Million",0,15,633,11014
"07-03-2021","41--31--10--21--30--14","10--14--21--30--31--41","$4.20 Million",0,16,719,11782
"06-30-2021","43--33--11--31--22--42","11--22--31--33--42--43","$4.10 Million",0,23,679,10638
"06-26-2021","30--36--9--16--3--12","3--9--12--16--30--36","$4.00 Million",0,18,741,11431
"06-23-2021","23--9--2--5--20--4","2--4--5--9--20--23","$3.90 Million",0,20,731,11445
"06-19-2021","34--18--15--1--43--40","1--15--18--34--40--43","$3.80 Million",0,13,628,10530
"06-16-2021","13--21--14--22--28--20","13--14--20--21--22--28","$3.70 Million",0,12,662,10979
"06-12-2021","12--11--30--42--15--38","11--12--15--30--38--42","$3.60 Million",0,19,633,10325
"06-09-2021","6--18--8--4--37--24","4--6--8--18--24--37","$3.50 Million",0,11,669,10644
"06-05-2021","24--16--42--5--10--23","5--10--16--23--24--42","$3.40 Million",0,12,731,11006
"06-02-2021","31--23--11--38--18--9","9--11--18--23--31--38","$3.30 Million",0,17,645,9812
"05-29-2021","9--2--38--19--4--39","2--4--9--19--38--39","$3.20 Million",0,11,681,10418
"05-26-2021","11--24--44--22--1--31","1--11--22--24--31--44","$3.10 Million",0,16,676,10108
"05-22-2021","3--5--36--41--18--39","3--5--18--36--39--41","$3.00 Million",0,13,619,10140
"05-19-2021","41--23--7--20--16--3","3--7--16--20--23--41","$2.90 Million",0,9,611,10035
"05-15-2021","22--42--21--32--43--41","21--22--32--41--42--43","$2.80 Million",0,12,559,9441
"05-12-2021","38--34--27--2--31--7","2--7--27--31--34--38","$2.70 Million",0,17,592,9096
"05-08-2021","11--1--40--20--37--17","1--11--17--20--37--40","$2.60 Million",0,16,621,9568
"05-05-2021","40--34--8--3--31--1","1--3--8--31--34--40","$2.50 Million",0,9,524,8944
"05-01-2021","4--24--39--43--23--29","4--23--24--29--39--43","$2.40 Million",0,9,554,9007
"04-28-2021","33--17--29--16--43--9","9--16--17--29--33--43","$2.30 Million",0,14,527,8645
"04-24-2021","8--32--14--15--22--39","8--14--15--22--32--39","$2.20 Million",0,8,550,8792
"04-21-2021","4--9--10--17--28--2","2--4--9--10--17--28","$2.10 Million",0,14,624,9364
"04-17-2021","23--11--13--28--1--15","1--11--13--15--23--28","$2.00 Million",0,16,582,9523
"04-14-2021","35--38--29--4--26--39","4--26--29--35--38--39","$1.90 Million",0,6,516,8012
"04-10-2021","42--17--25--32--37--38","17--25--32--37--38--42","$1.80 Million",0,10,530,8485
"04-07-2021","18--17--2--41--7--11","2--7--11--17--18--41","$1.70 Million",0,14,570,9034
"04-03-2021","31--13--43--18--29--32","13--18--29--31--32--43","$1.60 Million",0,15,567,8351
"03-31-2021","7--21--35--37--17--12","7--12--17--21--35--37","$1.50 Million",0,11,552,8585
"03-27-2021","22--8--35--19--38--41","8--19--22--35--38--41","$1.40 Million",0,6,513,8505
"03-24-2021","5--37--23--14--13--16","5--13--14--16--23--37","$1.30 Million",0,10,489,8031
"03-20-2021","24--33--4--2--3--27","2--3--4--24--27--33","$1.20 Million",0,5,507,8455
"03-17-2021","18--6--1--16--3--34","1--3--6--16--18--34","$1.10 Million",0,6,477,8185
