Draw Date	Numbers As Drawn	Numbers In Order	Jackpot	6 of 6	5 of 6	4 of 6	3 of 6
3-Apr-02	6:15:19:20:23:29	6:15:19:20:23:29	$1.2 Million	0	16	774	11828
6-Apr-02	6:7:10:20:32:38	6:7:10:20:32:38	$1.3 Million	0	13	804	13086
10-Apr-02	3:13:15:30:42:43	3:13:15:30:42:43	$1.4 Million	0	12	712	11279
13-Apr-02	26:30:33:37:38:41	26:30:33:37:38:41	$1.5 Million	0	18	737	11832
17-Apr-02	8:11:13:31:34:43	8:11:13:31:34:43	$1.6 Million	0	16	712	11513
20-Apr-02	4:8:12:21:39:40	4:8:12:21:39:40	$1.7 Million	0	24	880	14043
24-Apr-02	1:8:10:14:19:27	1:8:10:14:19:27	$1.8 Million	1	25	868	13493
27-Apr-02	1:23:29:31:32:37	1:23:29:31:32:37	$1.0 Million	0	17	641	11435
1-May-02	1:14:19:30:31:41	1:14:19:30:31:41	$1.1 Million	0	12	723	11164
4-May-02	1:9:12:18:23:43	1:9:12:18:23:43	$1.2 Million	0	16	855	13180
8-May-02	5:6:15:25:29:30	5:6:15:25:29:30	$1.3 Million	1	18	925	12261
11-May-02	4:10:14:18:40:43	4:10:14:18:40:43	$1.0 Million	0	17	803	12388
15-May-02	6:11:14:25:34:40	6:11:14:25:34:40	$1.1 Million	0	13	708	10984
18-May-02	10:18:28:30:35:37	10:18:28:30:35:37	$1.2 Million	1	13	743	12116
22-May-02	7:11:22:41:42:43	7:11:22:41:42:43	$1.0 Million	0	14	674	10811
25-May-02	1:19:29:31:34:39	1:19:29:31:34:39	$1.1 Million	0	12	781	12126
29-May-02	12:16:17:27:39:42	12:16:17:27:39:42	$1.2 Million	1	16	674	10294
1-Jun-02	1:7:13:31:33:42	1:7:13:31:33:42	$1.0 Million	0	10	798	12110
5-Jun-02	3:4:13:22:26:38	3:4:13:22:26:38	$1.1 Million	0	21	737	11239
8-Jun-02	5:11:15:26:32:38	5:11:15:26:32:38	$1.2 Million	0	29	763	11945
12-Jun-02	21:30:32:38:41:43	21:30:32:38:41:43	$1.3 Million	0	8	558	10063
15-Jun-02	4:18:21:38:40:42	4:18:21:38:40:42	$1.4 Million	0	16	755	11809
19-Jun-02	1:17:23:33:37:42	1:17:23:33:37:42	$1.5 Million	0	6	695	10348
22-Jun-02	2:5:27:32:36:42	2:5:27:32:36:42	$1.6 Million	0	14	748	11961
26-Jun-02	21:25:29:34:37:38	21:25:29:34:37:38	$1.7 Million	0	9	585	10414
29-Jun-02	12:16:29:34:39:41	12:16:29:34:39:41	$1.8 Million	0	19	777	12264
