Draw Date	Numbers As Drawn	Numbers In Order	Jackpot	6 of 6	5 of 6	4 of 6	3 of 6
20-Mar-04	8:20:26:33:41:43	8:20:26:33:41:43	$2.6 Million	0	21	872	14826
24-Mar-04	2:30:31:32:36:37	2:30:31:32:36:37	$2.7 Million	0	14	803	12977
27-Mar-04	5:13:26:30:35:38	5:13:26:30:35:38	$3.0 Million	0	30	980	15831
31-Mar-04	2:8:10:34:37:44	2:8:10:34:37:44	$3.1 Million	0	31	903	15177
3-Apr-04	7:16:17:29:36:43	7:16:17:29:36:43	$3.3 Million	0	26	988	16583
7-Apr-04	8:11:16:18:25:26	8:11:16:18:25:26	$3.4 Million	0	24	1051	16443
10-Apr-04	4:9:26:28:38:40	4:9:26:28:38:40	$3.6 Million	0	28	1065	17417
14-Apr-04	3:17:37:39:42:43	3:17:37:39:42:43	$3.7 Million	0	17	892	15039
17-Apr-04	2:3:13:15:19:43	2:3:13:15:19:43	$4.0 Million	0	19	1159	18719
21-Apr-04	8:14:18:29:31:36	8:14:18:29:31:36	$4.2 Million	0	26	1088	17377
24-Apr-04	5:11:13:15:18:26	5:11:13:15:18:26	$4.5 Million	0	25	1368	20970
28-Apr-04	6:7:8:21:39:41	6:7:8:21:39:41	$4.7 Million	0	29	1337	19680
1-May-04	3:5:18:22:23:37	3:5:18:22:23:37	$5.0 Million	0	35	1455	23177
5-May-04	7:9:19:33:38:42	7:9:19:33:38:42	$5.2 Million	0	26	1409	22644
8-May-04	9:16:20:22:26:35	9:16:20:22:26:35	$5.5 Million	0	37	1618	26072
12-May-04	5:7:19:24:34:35	5:7:19:24:34:35	$5.8 Million	0	38	1432	22649
15-May-04	7:21:22:29:37:42	7:21:22:29:37:42	$6.2 Million	0	42	1561	24964
19-May-04	2:4:17:25:36:37	2:4:17:25:36:37	$6.4 Million	0	28	1338	22442
22-May-04	4:15:34:35:36:39	4:15:34:35:36:39	$6.7 Million	0	34	1416	23077
26-May-04	4:8:22:24:32:35	4:8:22:24:32:35	$6.9 Million	0	22	1452	23009
29-May-04	7:22:23:28:32:44	7:22:23:28:32:44	$7.2 Million	0	46	1637	25793
2-Jun-04	4:12:27:31:35:42	4:12:27:31:35:42	$7.5 Million	0	33	1438	23535
5-Jun-04	1:16:27:28:33:37	1:16:27:28:33:37	$7.8 Million	0	39	1605	25787
9-Jun-04	23:28:32:36:43:44	23:28:32:36:43:44	$8.1 Million	0	34	1513	24808
12-Jun-04	3:9:13:22:34:40	3:9:13:22:34:40	$8.4 Million	0	41	1697	27100
16-Jun-04	3:11:14:23:31:43	3:11:14:23:31:43	$8.8 Million	0	31	1742	27139
19-Jun-04	6:13:21:25:27:43	6:13:21:25:27:43	$9.1 Million	0	45	1914	30146
23-Jun-04	2:10:15:17:29:41	2:10:15:17:29:41	$9.4 Million	0	34	1701	28041
26-Jun-04	7:17:23:30:42:44	7:17:23:30:42:44	$9.7 Million	0	47	1825	29277
30-Jun-04	2:12:18:35:37:40	2:12:18:35:37:40	$10.1 Million	0	47	1835	29770
3-Jul-04	1:6:23:27:28:34	1:6:23:27:28:34	$10.4 Million	0	48	1968	32863
7-Jul-04	6:8:15:31:36:39	6:8:15:31:36:39	$10.8 Million	0	28	1711	28298
10-Jul-04	20:25:27:30:39:42	20:25:27:30:39:42	$11.2 Million	0	47	1982	32521
14-Jul-04	17:21:31:34:41:43	17:21:31:34:41:43	$11.5 Million	1	29	1852	30403
17-Jul-04	3:9:25:26:39:42	3:9:25:26:39:42	$1.0 Million	1	21	1020	16850
21-Jul-04	2:8:10:20:36:43	2:8:10:20:36:43	$1.0 Million	0	18	911	14382
24-Jul-04	2:6:31:40:41:44	2:6:31:40:41:44	$1.1 Million	0	20	840	14430
28-Jul-04	2:3:24:30:34:36	2:3:24:30:34:36	$1.2 Million	0	21	742	12961
31-Jul-04	11:16:25:37:41:42	11:16:25:37:41:42	$1.3 Million	0	13	912	14509
4-Aug-04	6:14:24:26:41:42	6:14:24:26:41:42	$1.4 Million	0	27	828	13371
7-Aug-04	5:25:26:29:30:41	5:25:26:29:30:41	$1.5 Million	0	20	864	14749
11-Aug-04	6:14:20:34:37:43	6:14:20:34:37:43	$1.6 Million	0	16	839	13366
14-Aug-04	8:9:15:21:33:40	8:9:15:21:33:40	$1.7 Million	0	11	983	15628
18-Aug-04	5:7:15:25:35:37	5:7:15:25:35:37	$1.8 Million	0	23	946	14110
21-Aug-04	12:16:17:22:36:43	12:16:17:22:36:43	$1.9 Million	0	17	929	14742
25-Aug-04	8:11:13:22:30:42	8:11:13:22:30:42	$2.0 Million	0	17	946	14593
28-Aug-04	2:13:15:31:35:44	2:13:15:31:35:44	$2.1 Million	0	25	935	15338
1-Sep-04	4:11:22:24:25:32	4:11:22:24:25:32	$2.2 Million	0	15	904	14207
4-Sep-04	1:3:9:10:11:27	1:3:9:10:11:27	$2.4 Million	0	34	1373	19050
8-Sep-04	11:15:19:29:35:43	11:15:19:29:35:43	$2.5 Million	0	34	1014	14397
11-Sep-04	10:14:23:31:36:39	10:14:23:31:36:39	$2.7 Million	0	25	977	15534
15-Sep-04	2:8:25:26:36:42	2:8:25:26:36:42	$2.8 Million	0	25	970	15044
18-Sep-04	5:14:16:18:30:44	5:14:16:18:30:44	$3.1 Million	1	22	1034	16690
22-Sep-04	3:7:30:31:32:43	3:7:30:31:32:43	$1.0 Million	0	15	778	12616
25-Sep-04	3:8:9:20:29:34	3:8:9:20:29:34	$1.1 Million	0	16	999	14834
29-Sep-04	11:18:27:29:31:44	11:18:27:29:31:44	$1.2 Million	0	11	828	13436
2-Oct-04	8:14:17:20:23:34	8:14:17:20:23:34	$1.3 Million	0	15	925	14927
6-Oct-04	20:23:26:36:42:43	20:23:26:36:42:43	$1.4 Million	0	18	885	13138
9-Oct-04	9:16:24:29:31:38	9:16:24:29:31:38	$1.5 Million	0	13	999	15912
13-Oct-04	2:17:29:32:41:44	2:17:29:32:41:44	$1.6 Million	0	8	714	12450
16-Oct-04	7:9:11:13:15:38	7:9:11:13:15:38	$1.7 Million	1	21	1035	15527
20-Oct-04	4:7:19:32:38:40	4:7:19:32:38:40	$1.0 Million	0	15	714	12029
23-Oct-04	5:9:10:11:27:34	5:9:10:11:27:34	$1.1 Million	0	18	919	15407
27-Oct-04	16:24:26:30:36:37	16:24:26:30:36:37	$1.2 Million	0	18	716	11922
30-Oct-04	4:19:24:32:37:39	4:19:24:32:37:39	$1.3 Million	0	19	817	13366
3-Nov-04	19:38:13:25:35:42	13:19:25:35:38:42	$1.4 Million	0	12	760	12194
6-Nov-04	20:22:24:25:39:11	11:20:22:24:25:39	$1.5 Million	0	16	897	14161
10-Nov-04	43:37:28:29:20:35	20:28:29:35:37:43	$1.6 Million	0	14	749	12183
13-Nov-04	1:31:24:21:33:41	1:21:24:31:33:41	$1.7 Million	0	20	864	13634
17-Nov-04	43:21:24:13:32:40	13:21:24:32:40:43	$1.8 Million	0	19	747	12418
20-Nov-04	18:31:28:33:23:39	18:23:28:31:33:39	$1.9 Million	0	18	841	13689
24-Nov-04	40:37:20:2:28:33	2:20:28:33:37:40	$2.0 Million	0	15	785	13204
27-Nov-04	31:2:8:35:27:17	2:8:17:27:31:35	$2.1 Million	0	23	869	14384
1-Dec-04	18:19:37:16:41:4	4:16:18:19:37:41	$2.2 Million	0	15	852	14381
4-Dec-04	30:10:33:16:37:43	10:16:30:33:37:43	$2.3 Million	0	24	903	15826
8-Dec-04	31:37:28:2:4:39	2:4:28:31:37:39	$2.4 Million	0	25	896	15727
11-Dec-04	41:39:27:31:20:25	20:25:27:31:39:41	$2.7 Million	1	23	977	15956
15-Dec-04	35:8:37:14:31:38	8:14:31:35:37:38	$1.0 Million	0	20	719	11865
18-Dec-04	24:8:39:5:36:10	5:8:10:24:36:39	$1.1 Million	0	19	852	14144
22-Dec-04	29:13:37:38:41:36	13:29:36:37:38:41	$1.2 Million	0	14	777	12409
25-Dec-04	7:34:27:4:32:8	4:7:8:27:32:34	$1.3 Million	1	17	825	12914
29-Dec-04	36:12:26:32:38:22	12:22:26:32:36:38	$1.0 Million	0	12	753	11655
1-Jan-05	5:38:33:21:13:11	5:11:13:21:33:38	$1.1 Million	0	27	883	14390
5-Jan-05	14:23:10:27:8:17	8:10:14:17:23:27	$1.2 Million	0	22	862	12884
8-Jan-05	31:12:26:37:28:7	7:12:26:28:31:37	$1.3 Million	0	18	871	14017
12-Jan-05	44:34:16:32:4:27	4:16:27:32:34:44	$1.4 Million	0	16	760	12223
15-Jan-05	4:32:17:29:27:35	4:17:27:29:32:35	$1.5 Million	0	11	783	12991
19-Jan-05	44:17:13:20:26:34	13:17:20:26:34:44	$1.6 Million	0	20	735	12123
22-Jan-05	38:32:27:41:42:25	25:27:32:38:41:42	$1.7 Million	0	16	785	12904
26-Jan-05	43:31:26:25:11:38	11:25:26:31:38:43	$1.8 Million	0	14	739	12412
29-Jan-05	40:14:13:23:3:1	1:3:13:14:23:40	$1.9 Million	0	15	914	14538
2-Feb-05	22:1:8:41:7:15	1:7:8:15:22:41	$2.0 Million	0	17	892	13702
5-Feb-05	5:13:34:38:23:16	5:13:16:23:34:38	$2.1 Million	0	18	859	14489
9-Feb-05	32:24:35:5:11:3	3:5:11:24:32:35	$2.2 Million	0	16	774	13642
12-Feb-05	29:25:37:12:6:30	6:12:25:29:30:37	$2.3 Million	0	19	1009	15679
16-Feb-05	35:42:15:20:28:5	5:15:20:28:35:42	$2.4 Million	0	24	859	14021
19-Feb-05	43:30:10:29:9:25	9:10:25:29:30:43	$2.6 Million	1	22	865	15597
23-Feb-05	21:2:43:1:10:11	1:2:10:11:21:43	$1.0 Million	0	14	883	12878
26-Feb-05	3:1:14:25:29:26	1:3:14:25:26:29	$1.1 Million	0	16	895	13668
2-Mar-05	41:33:39:30:13:35	13:30:33:35:39:41	$1.2 Million	0	23	688	11661
5-Mar-05	38:15:16:20:10:22	10:15:16:20:22:38	$1.3 Million	0	17	804	13575
9-Mar-05	14:25:2:12:10:5	2:5:10:12:14:25	$1.4 Million	1	27	938	14177
12-Mar-05	19:42:29:40:15:35	15:19:29:35:40:42	$1.0 Million	0	10	778	12764
16-Mar-05	9:39:43:23:4:17	4:9:17:23:39:43	$1.1 Million	0	22	762	12114
19-Mar-05	35:13:12:14:6:11	6:11:12:13:14:35	$1.2 Million	0	23	806	13585
23-Mar-05	36:33:10:24:26:1	1:10:24:26:33:36	$1.3 Million	0	18	725	11475
26-Mar-05	34:19:2:43:18:24	2:18:19:24:34:43	$1.4 Million	1	17	769	13205
30-Mar-05	36:5:30:40:37:24	5:24:30:36:37:40	$1.0 Million	0	15	673	10588
2-Apr-05	32:7:26:43:18:29	7:18:26:29:32:43	$1.1 Million	0	15	780	12692
6-Apr-05	32:24:30:26:7:37	7:24:26:30:32:37	$1.2 Million	0	22	673	11368
9-Apr-05	42:15:17:13:39:14	13:14:15:17:39:42	$1.3 Million	1	9	713	12186
13-Apr-05	33:25:28:42:7:40	7:25:28:33:40:42	$1.0 Million	0	17	662	11066
16-Apr-05	2:18:27:39:13:19	2:13:18:19:27:39	$1.1 Million	0	15	826	13587
20-Apr-05	15:34:30:36:22:27	15:22:27:30:34:36	$1.2 Million	0	17	676	11206
23-Apr-05	4:1:40:29:12:44	1:4:12:29:40:44	$1.3 Million	0	16	901	13813
27-Apr-05	40:35:8:21:29:11	8:11:21:29:35:40	$1.4 Million	0	20	798	12752
30-Apr-05	23:16:34:11:28:14	11:14:16:23:28:34	$1.5 Million	0	24	891	13707
4-May-05	38:14:41:23:26:11	11:14:23:26:38:41	$1.6 Million	0	18	813	12575
7-May-05	13:21:29:7:27:43	7:13:21:27:29:43	$1.7 Million	0	30	1090	15909
11-May-05	17:10:2:27:32:22	2:10:17:22:27:32	$1.8 Million	0	15	927	13584
14-May-05	35:6:10:36:23:8	6:8:10:23:35:36	$1.9 Million	0	15	947	15331
18-May-05	35:6:41:24:7:29	6:7:24:29:35:41	$2.0 Million	0	14	859	14393
21-May-05	14:35:10:32:39:24	10:14:24:32:35:39	$2.1 Million	1	24	939	15531
25-May-05	41:4:16:24:44:14	4:14:16:24:41:44	$1.0 Million	0	20	900	13011
28-May-05	31:38:3:39:36:9	3:9:31:36:38:39	$1.1 Million	0	18	905	14774
1-Jun-05	33:24:12:25:41:15	12:15:24:25:33:41	$1.2 Million	0	14	609	11138
4-Jun-05	1:37:21:4:31:29	1:4:21:29:31:37	$1.3 Million	0	18	862	13825
8-Jun-05	12:8:17:21:2:27	2:8:12:17:21:27	$1.4 Million	0	29	982	14206
11-Jun-05	33:17:10:15:26:38	10:15:17:26:33:38	$1.5 Million	0	19	800	13171
15-Jun-05	17:32:16:12:23:38	12:16:17:23:32:38	$1.6 Million	0	14	770	12463
18-Jun-05	38:27:1:26:31:20	1:20:26:27:31:38	$1.7 Million	0	21	818	14109
22-Jun-05	11:5:44:28:29:10	5:10:11:28:29:44	$1.8 Million	0	25	937	14403
25-Jun-05	17:42:39:28:18:20	17:18:20:28:39:42	$1.9 Million	0	15	801	13639
29-Jun-05	33:13:5:22:12:7	5:7:12:13:22:33	$2.0 Million	0	19	837	14148
2-Jul-05	2:21:24:13:20:1	1:2:13:20:21:24	$2.1 Million	0	23	909	15984
6-Jul-05	26:42:35:22:19:24	19:22:24:26:35:42	$2.2 Million	0	10	798	12576
9-Jul-05	2:8:26:25:16:11	2:8:11:16:25:26	$2.3 Million	0	28	1075	15964
13-Jul-05	40:41:39:35:1:22	1:22:35:39:40:41	$2.4 Million	0	13	809	13005
16-Jul-05	12:40:22:29:7:10	7:10:12:22:29:40	$2.6 Million	0	26	1079	16643
20-Jul-05	7:27:21:4:41:24	4:7:21:24:27:41	$2.7 Million	0	18	949	15104
23-Jul-05	17:2:9:18:44:33	2:9:17:18:33:44	$2.9 Million	0	14	942	15794
27-Jul-05	16:42:8:25:38:44	8:16:25:38:42:44	$3.0 Million	0	11	856	14243
30-Jul-05	15:3:9:2:16:1	1:2:3:9:15:16	$3.2 Million	0	25	1152	17992
3-Aug-05	10:41:15:32:31:30	10:15:30:31:32:41	$3.3 Million	0	18	881	15313
6-Aug-05	7:1:20:41:37:44	1:7:20:37:41:44	$3.6 Million	0	26	1118	17802
10-Aug-05	16:28:14:37:32:23	14:16:23:28:32:37	$3.8 Million	0	23	1032	16568
13-Aug-05	17:29:15:27:41:30	15:17:27:29:30:41	$4.0 Million	0	28	1103	18458
17-Aug-05	43:26:8:18:20:6	6:8:18:20:26:43	$4.2 Million	0	26	1104	17621
20-Aug-05	39:27:35:37:30:14	14:27:30:35:37:39	$4.5 Million	0	26	1144	18902
24-Aug-05	21:5:23:6:28:15	5:6:15:21:23:28	$4.8 Million	0	40	1220	19081
27-Aug-05	43:2:14:19:25:17	2:14:17:19:25:43	$5.1 Million	0	28	1330	20570
31-Aug-05	30:23:38:43:14:42	14:23:30:38:42:43	$5.3 Million	0	26	1125	18416
3-Sep-05	28:10:24:3:15:31	3:10:15:24:28:31	$5.5 Million	0	35	1409	21554
7-Sep-05	13:15:36:4:32:29	4:13:15:29:32:36	$5.7 Million	0	31	1181	18651
10-Sep-05	16:18:37:23:44:35	16:18:23:35:37:44	$6.0 Million	0	29	1311	20539
14-Sep-05	34:42:36:24:10:19	10:19:24:34:36:42	$6.2 Million	0	25	1242	19967
17-Sep-05	25:17:37:6:39:28	6:17:25:28:37:39	$6.5 Million	0	29	1335	21845
21-Sep-05	24:6:13:26:44:29	6:13:24:26:29:44	$6.7 Million	1	31	1373	22267
24-Sep-05	21:3:23:30:41:19	3:19:21:23:30:41	$1.0 Million	0	20	978	15564
28-Sep-05	16:22:44:40:4:31	4:16:22:31:40:44	$1.1 Million	0	24	860	12421
1-Oct-05	13:6:22:37:25:1	1:6:13:22:25:37	$1.2 Million	0	18	887	14400
5-Oct-05	4:26:33:16:44:10	4:10:16:26:33:44	$1.3 Million	0	16	847	13427
8-Oct-05	5:6:4:23:3:7	3:4:5:6:7:23	$1.4 Million	0	21	1244	17111
12-Oct-05	40:14:15:20:19:9	9:14:15:19:20:40	$1.5 Million	0	18	876	14284
15-Oct-05	37:21:2:12:34:14	2:12:14:21:34:37	$1.6 Million	0	27	1061	17141
19-Oct-05	31:37:10:4:22:12	4:10:12:22:31:37	$1.7 Million	0	29	1249	19788
22-Oct-05	35:15:25:34:43:32	15:25:32:34:35:43	$1.8 Million	0	20	853	13916
26-Oct-05	37:5:40:32:28:35	5:28:32:35:37:40	$1.9 Million	0	19	856	13002
29-Oct-05	22:17:18:6:13:32	6:13:17:18:22:32	$2.0 Million	0	18	832	15009
2-Nov-05	17:21:16:40:23:41	16:17:21:23:40:41	$2.1 Million	0	21	778	13733
5-Nov-05	25:40:7:16:17:2	2:7:16:17:25:40	$2.2 Million	0	19	1005	16342
9-Nov-05	6:19:15:36:8:23	6:8:15:19:23:36	$2.3 Million	0	19	991	15685
12-Nov-05	41:8:19:11:16:36	8:11:16:19:36:41	$2.5 Million	0	27	1035	16032
16-Nov-05	8:35:3:44:20:4	3:4:8:20:35:44	$2.7 Million	0	27	961	14968
19-Nov-05	11:22:41:19:42:3	3:11:19:22:41:42	$2.9 Million	0	22	995	16563
23-Nov-05	1:5:7:11:34:31	1:5:7:11:31:34	$3.1 Million	0	26	1148	17531
26-Nov-05	14:29:26:10:11:33	10:11:14:26:29:33	$3.3 Million	0	21	974	15649
30-Nov-05	7:37:16:3:38:22	3:7:16:22:37:38	$3.5 Million	0	14	930	15827
3-Dec-05	27:14:18:15:3:41	3:14:15:18:27:41	$3.7 Million	0	28	1085	17251
7-Dec-05	11:27:18:1:25:34	1:11:18:25:27:34	$3.9 Million	0	17	969	16140
10-Dec-05	23:39:35:11:10:36	10:11:23:35:36:39	$4.1 Million	0	22	1016	16682
14-Dec-05	12:34:8:35:27:4	4:8:12:27:34:35	$4.3 Million	0	21	1109	17581
17-Dec-05	1:32:13:20:14:41	1:13:14:20:32:41	$4.5 Million	0	19	1098	17798
21-Dec-05	8:42:23:6:12:7	6:7:8:12:23:42	$4.7 Million	0	28	1127	18728
24-Dec-05	23:42:34:15:36:3	3:15:23:34:36:42	$5.0 Million	0	37	1209	20683
28-Dec-05	37:28:16:7:11:26	7:11:16:26:28:37	$5.2 Million	0	21	1216	18044
31-Dec-05	26:9:33:22:25:32	9:22:25:26:32:33	$5.5 Million	0	27	1286	20552
4-Jan-06	6:14:16:42:11:25	6:11:14:16:25:42	$5.7 Million	0	17	1202	18707
7-Jan-06	18:37:41:17:31:34	17:18:31:34:37:41	$5.9 Million	0	26	1163	19526
11-Jan-06	32:20:23:2:43:33	2:20:23:32:33:43	$6.1 Million	0	16	1141	18591
14-Jan-06	3:17:30:37:35:44	3:17:30:35:37:44	$6.4 Million	0	28	1377	21717
18-Jan-06	23:39:41:28:43:30	23:28:30:39:41:43	$6.6 Million	0	17	1186	19568
21-Jan-06	21:37:25:14:4:8	4:8:14:21:25:37	$6.9 Million	0	24	1507	23703
25-Jan-06	11:30:4:39:35:27	4:11:27:30:35:39	$7.1 Million	0	35	1409	23380
28-Jan-06	40:37:19:22:13:41	13:19:22:37:40:41	$7.5 Million	0	34	1555	25057
1-Feb-06	11:27:33:43:41:29	11:27:29:33:41:43	$7.7 Million	0	33	1529	25005
4-Feb-06	36:35:4:17:25:38	4:17:25:35:36:38	$8.1 Million	1	35	1739	27274
8-Feb-06	23:39:3:36:22:4	3:4:22:23:36:39	$1.0 Million	0	14	969	15432
11-Feb-06	36:12:24:34:10:20	10:12:20:24:34:36	$1.1 Million	0	21	1072	17089
15-Feb-06	35:3:5:29:7:10	3:5:7:10:29:35	$1.2 Million	0	32	1316	19324
18-Feb-06	2:28:10:36:3:37	2:3:10:28:36:37	$1.3 Million	0	24	1203	20029
22-Feb-06	23:1:35:22:30:29	1:22:23:29:30:35	$1.4 Million	0	22	755	13227
25-Feb-06	42:15:17:19:11:22	11:15:17:19:22:42	$1.5 Million	0	30	1002	16033
1-Mar-06	1:17:5:4:24:15	1:4:5:15:17:24	$1.6 Million	1	12	998	15625
4-Mar-06	3:38:42:7:31:15	3:7:15:31:38:42	$1.0 Million	0	14	964	15574
8-Mar-06	36:15:20:14:33:5	5:14:15:20:33:36	$1.1 Million	0	11	816	13869
11-Mar-06	40:1:18:8:32:44	1:8:18:32:40:44	$1.2 Million	0	20	1015	15270
15-Mar-06	22:26:30:1:13:34	1:13:22:26:30:34	$1.3 Million	0	15	849	13628
18-Mar-06	26:9:24:42:27:15	9:15:24:26:27:42	$1.4 Million	0	26	898	15402
22-Mar-06	9:31:25:32:43:26	9:25:26:31:32:43	$1.5 Million	0	16	766	13104
25-Mar-06	21:11:17:14:42:35	11:14:17:21:35:42	$1.6 Million	0	22	1245	15735
29-Mar-06	12:17:1:6:39:29	1:6:12:17:29:39	$1.7 Million	0	15	950	14673
1-Apr-06	8:23:40:29:42:30	8:23:29:30:40:42	$1.8 Million	0	17	917	15269
5-Apr-06	8:32:4:25:1:28	1:4:8:25:28:32	$1.9 Million	0	16	909	15203
8-Apr-06	35:16:41:29:11:12	11:12:16:29:35:41	$2.0 Million	0	26	991	16117
12-Apr-06	31:42:30:6:4:10	4:6:10:30:31:42	$2.2 Million	0	20	992	16026
15-Apr-06	42:32:27:38:43:17	17:27:32:38:42:43	$2.4 Million	0	16	947	15342
19-Apr-06	15:3:10:25:44:5	3:5:10:15:25:44	$2.6 Million	1	26	1182	16148
22-Apr-06	25:34:2:26:8:9	2:8:9:25:26:34	$1.0 Million	0	29	956	14973
26-Apr-06	26:17:2:34:39:16	2:16:17:26:34:39	$1.1 Million	0	19	759	12375
29-Apr-06	42:37:13:7:26:31	7:13:26:31:37:42	$1.2 Million	0	24	969	14862
3-May-06	31:30:44:11:21:23	11:21:23:30:31:44	$1.3 Million	0	19	889	14315
6-May-06	5:40:16:17:10:7	5:7:10:16:17:40	$1.4 Million	0	18	925	15601
10-May-06	8:22:28:36:6:9	6:8:9:22:28:36	$1.5 Million	0	21	959	14495
13-May-06	41:34:27:15:38:36	15:27:34:36:38:41	$1.6 Million	0	21	874	14198
17-May-06	6:17:40:14:15:28	6:14:15:17:28:40	$1.7 Million	0	15	815	13811
20-May-06	6:4:2:26:43:7	2:4:6:7:26:43	$1.8 Million	0	25	1018	15887
24-May-06	17:7:27:44:42:14	7:14:17:27:42:44	$1.9 Million	0	27	917	14206
27-May-06	39:26:30:27:31:11	11:26:27:30:31:39	$2.0 Million	0	13	917	14684
31-May-06	22:3:33:13:23:12	3:12:13:22:23:33	$2.2 Million	0	20	913	13718
3-Jun-06	38:1:18:17:39:35	1:17:18:35:38:39	$2.4 Million	0	12	842	14334
7-Jun-06	44:31:6:26:29:32	6:26:29:31:32:44	$2.5 Million	0	18	863	13859
10-Jun-06	43:12:23:31:27:3	3:12:23:27:31:43	$2.7 Million	0	32	1118	16355
14-Jun-06	21:2:11:6:44:24	2:6:11:21:24:44	$2.9 Million	0	25	995	16208
17-Jun-06	2:13:21:35:4:39	2:4:13:21:35:39	$3.1 Million	0	23	1086	17177
21-Jun-06	27:37:14:35:12:5	5:12:14:27:35:37	$3.3 Million	0	21	966	15900
24-Jun-06	39:37:36:1:3:12	1:3:12:36:37:39	$3.5 Million	0	16	967	16779
28-Jun-06	2:33:38:41:13:29	2:13:29:33:38:41	$3.7 Million	0	20	932	14877
1-Jul-06	29:44:11:5:30:33	5:11:29:30:33:44	$4.0 Million	0	11	1133	18161
5-Jul-06	2:27:43:13:6:15	2:6:13:15:27:43	$4.2 Million	0	26	1021	16607
8-Jul-06	8:35:29:10:14:4	4:8:10:14:29:35	$4.4 Million	0	28	1274	18954
12-Jul-06	40:5:16:6:11:13	5:6:11:13:16:40	$4.6 Million	0	19	1083	17942
15-Jul-06	23:43:6:21:25:20	6:20:21:23:25:43	$4.9 Million	0	20	1123	18357
19-Jul-06	13:27:24:41:31:15	13:15:24:27:31:41	$5.1 Million	0	26	1160	18227
22-Jul-06	25:5:34:15:37:40	5:15:25:34:37:40	$5.3 Million	0	31	1179	18488
26-Jul-06	16:43:31:24:34:36	16:24:31:34:36:43	$5.5 Million	1	24	1175	17991
29-Jul-06	9:5:34:10:1:26	1:5:9:10:26:34	$1.0 Million	0	28	1005	15716
2-Aug-06	44:16:39:29:2:37	2:16:29:37:39:44	$1.1 Million	0	18	791	12944
5-Aug-06	12:13:6:15:30:44	6:12:13:15:30:44	$1.2 Million	0	28	1008	15401
9-Aug-06	20:27:13:15:21:16	13:15:16:20:21:27	$1.3 Million	0	17	797	12990
12-Aug-06	4:37:26:21:34:30	4:21:26:30:34:37	$1.4 Million	0	17	876	14108
16-Aug-06	42:39:4:22:38:44	4:22:38:39:42:44	$1.5 Million	0	13	792	12706
19-Aug-06	2:18:22:44:19:25	2:18:19:22:25:44	$1.6 Million	0	15	942	14529
23-Aug-06	3:15:37:26:6:5	3:5:6:15:26:37	$1.7 Million	0	16	935	14267
26-Aug-06	21:26:9:33:28:5	5:9:21:26:28:33	$1.8 Million	0	16	950	15496
30-Aug-06	12:23:25:4:13:15	4:12:13:15:23:25	$1.9 Million	0	28	905	14250
2-Sep-06	40:35:19:26:38:1	1:19:26:35:38:40	$2.0 Million	0	30	919	14998
6-Sep-06	20:23:35:39:8:21	8:20:21:23:35:39	$2.1 Million	0	14	832	13403
9-Sep-06	27:23:36:29:41:37	23:27:29:36:37:41	$2.2 Million	0	23	935	15504
13-Sep-06	13:28:20:44:23:26	13:20:23:26:28:44	$2.4 Million	0	20	892	15048
16-Sep-06	27:43:41:39:1:33	1:27:33:39:41:43	$2.6 Million	0	20	982	15693
20-Sep-06	36:32:9:11:23:42	9:11:23:32:36:42	$2.8 Million	0	22	1032	15229
23-Sep-06	28:27:10:43:18:14	10:14:18:27:28:43	$3.0 Million	0	27	1193	18471
27-Sep-06	39:40:32:5:43:35	5:32:35:39:40:43	$3.2 Million	0	24	922	15233
30-Sep-06	24:1:14:19:11:41	1:11:14:19:24:41	$3.4 Million	0	17	1060	17942
4-Oct-06	36:38:44:41:39:22	22:36:38:39:41:44	$3.6 Million	0	24	985	16168
7-Oct-06	30:18:33:3:23:2	2:3:18:23:30:33	$3.8 Million	1	23	1181	18142
11-Oct-06	30:37:29:41:35:44	29:30:35:37:41:44	$1.0 Million	0	10	752	12744
14-Oct-06	31:41:39:10:25:36	10:25:31:36:39:41	$1.1 Million	0	20	850	13756
18-Oct-06	16:27:17:36:35:13	13:16:17:27:35:36	$1.2 Million	0	12	711	12449
21-Oct-06	43:14:44:38:25:34	14:25:34:38:43:44	$1.3 Million	0	20	823	13723
25-Oct-06	9:22:2:35:10:38	2:9:10:22:35:38	$1.4 Million	0	19	823	13402
28-Oct-06	18:28:3:43:38:33	3:18:28:33:38:43	$1.5 Million	0	23	881	13616
1-Nov-06	43:41:37:3:21:7	3:7:21:37:41:43	$1.6 Million	0	19	917	14128
4-Nov-06	37:38:33:18:24:32	18:24:32:33:37:38	$1.7 Million	0	14	800	13598
8-Nov-06	41:22:10:27:24:37	10:22:24:27:37:41	$1.8 Million	0	16	810	13280
11-Nov-06	28:31:22:34:36:12	12:22:28:31:34:36	$1.9 Million	0	16	894	14508
15-Nov-06	32:33:35:13:42:5	5:13:32:33:35:42	$2.0 Million	0	10	782	12801
18-Nov-06	23:44:3:18:35:42	3:18:23:35:42:44	$2.1 Million	0	15	899	14765
22-Nov-06	30:23:7:14:35:2	2:7:14:23:30:35	$2.2 Million	0	14	1006	15277
25-Nov-06	34:33:39:17:1:7	1:7:17:33:34:39	$2.3 Million	0	17	840	13856
29-Nov-06	14:20:18:33:41:22	14:18:20:22:33:41	$2.5 Million	0	26	902	13746
2-Dec-06	1:14:13:31:41:26	1:13:14:26:31:41	$2.7 Million	0	16	845	13314
